Agent info:
	Batch size: 128
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Success Margin: -150
	Action Type: Complex Action
	Target model: True

Episode: 1/400, rounds: 499, epsilon: 1.0, score: -500.0, reward: -1.0, elapsed time: 0:00:09
Episode: 2/400, rounds: 499, epsilon: 0.99, score: -500.0, reward: -1.0, elapsed time: 0:00:21
Episode: 3/400, rounds: 499, epsilon: 0.9801, score: -500.0, reward: -1.0, elapsed time: 0:00:34
Episode: 4/400, rounds: 499, epsilon: 0.9703, score: -500.0, reward: -1.0, elapsed time: 0:00:46
Episode: 5/400, rounds: 499, epsilon: 0.9606, score: -500.0, reward: -1.0, elapsed time: 0:00:58
Episode: 6/400, rounds: 499, epsilon: 0.951, score: -500.0, reward: -1.0, elapsed time: 0:01:11
Episode: 7/400, rounds: 499, epsilon: 0.9415, score: -500.0, reward: -1.0, elapsed time: 0:01:23
Episode: 8/400, rounds: 499, epsilon: 0.9321, score: -500.0, reward: -1.0, elapsed time: 0:01:35
Episode: 9/400, rounds: 499, epsilon: 0.9227, score: -500.0, reward: -1.0, elapsed time: 0:01:48
Episode: 10/400, rounds: 499, epsilon: 0.9135, score: -500.0, reward: -1.0, elapsed time: 0:02:01
Episode: 11/400, rounds: 273, epsilon: 0.9044, score: -273.0, reward: 0.0, elapsed time: 0:02:08
Episode: 12/400, rounds: 499, epsilon: 0.8953, score: -500.0, reward: -1.0, elapsed time: 0:02:21
Episode: 13/400, rounds: 499, epsilon: 0.8864, score: -500.0, reward: -1.0, elapsed time: 0:02:34
Episode: 14/400, rounds: 499, epsilon: 0.8775, score: -500.0, reward: -1.0, elapsed time: 0:02:47
Episode: 15/400, rounds: 499, epsilon: 0.8687, score: -500.0, reward: -1.0, elapsed time: 0:03:00
Episode: 16/400, rounds: 499, epsilon: 0.8601, score: -500.0, reward: -1.0, elapsed time: 0:03:13
Episode: 17/400, rounds: 499, epsilon: 0.8515, score: -500.0, reward: -1.0, elapsed time: 0:03:26
Episode: 18/400, rounds: 282, epsilon: 0.8429, score: -282.0, reward: 0.0, elapsed time: 0:03:34
Episode: 19/400, rounds: 487, epsilon: 0.8345, score: -487.0, reward: 0.0, elapsed time: 0:03:47
Episode: 20/400, rounds: 499, epsilon: 0.8262, score: -500.0, reward: -1.0, elapsed time: 0:04:01
Episode: 21/400, rounds: 401, epsilon: 0.8179, score: -401.0, reward: 0.0, elapsed time: 0:04:12
Episode: 22/400, rounds: 499, epsilon: 0.8097, score: -500.0, reward: -1.0, elapsed time: 0:04:25
Episode: 23/400, rounds: 327, epsilon: 0.8016, score: -327.0, reward: 0.0, elapsed time: 0:04:34
Episode: 24/400, rounds: 499, epsilon: 0.7936, score: -500.0, reward: -1.0, elapsed time: 0:04:48
Episode: 25/400, rounds: 384, epsilon: 0.7857, score: -384.0, reward: 0.0, elapsed time: 0:04:59
Episode: 26/400, rounds: 352, epsilon: 0.7778, score: -352.0, reward: 0.0, elapsed time: 0:05:09
Episode: 27/400, rounds: 362, epsilon: 0.77, score: -362.0, reward: 0.0, elapsed time: 0:05:20
Episode: 28/400, rounds: 467, epsilon: 0.7623, score: -467.0, reward: 0.0, elapsed time: 0:05:33
Episode: 29/400, rounds: 314, epsilon: 0.7547, score: -314.0, reward: 0.0, elapsed time: 0:05:42
Episode: 30/400, rounds: 499, epsilon: 0.7472, score: -500.0, reward: -1.0, elapsed time: 0:05:56
Episode: 31/400, rounds: 494, epsilon: 0.7397, score: -494.0, reward: 0.0, elapsed time: 0:06:10
Episode: 32/400, rounds: 462, epsilon: 0.7323, score: -462.0, reward: 0.0, elapsed time: 0:06:23
Episode: 33/400, rounds: 447, epsilon: 0.725, score: -447.0, reward: 0.0, elapsed time: 0:06:36
Episode: 34/400, rounds: 459, epsilon: 0.7177, score: -459.0, reward: 0.0, elapsed time: 0:06:49
Episode: 35/400, rounds: 311, epsilon: 0.7106, score: -311.0, reward: 0.0, elapsed time: 0:06:58
Episode: 36/400, rounds: 214, epsilon: 0.7034, score: -214.0, reward: 0.0, elapsed time: 0:07:05
Episode: 37/400, rounds: 258, epsilon: 0.6964, score: -258.0, reward: 0.0, elapsed time: 0:07:13
Episode: 38/400, rounds: 335, epsilon: 0.6894, score: -335.0, reward: 0.0, elapsed time: 0:07:23
Episode: 39/400, rounds: 311, epsilon: 0.6826, score: -311.0, reward: 0.0, elapsed time: 0:07:32
Episode: 40/400, rounds: 242, epsilon: 0.6757, score: -242.0, reward: 0.0, elapsed time: 0:07:40
Episode: 41/400, rounds: 313, epsilon: 0.669, score: -313.0, reward: 0.0, elapsed time: 0:07:50
Episode: 42/400, rounds: 268, epsilon: 0.6623, score: -268.0, reward: 0.0, elapsed time: 0:07:58
Episode: 43/400, rounds: 203, epsilon: 0.6557, score: -203.0, reward: 0.0, elapsed time: 0:08:05
Episode: 44/400, rounds: 196, epsilon: 0.6491, score: -196.0, reward: 0.0, elapsed time: 0:08:11
Episode: 45/400, rounds: 124, epsilon: 0.6426, score: -124.0, reward: 0.0, elapsed time: 0:08:15
Episode: 46/400, rounds: 192, epsilon: 0.6362, score: -192.0, reward: 0.0, elapsed time: 0:08:22
Episode: 47/400, rounds: 162, epsilon: 0.6298, score: -162.0, reward: 0.0, elapsed time: 0:08:27
Episode: 48/400, rounds: 285, epsilon: 0.6235, score: -285.0, reward: 0.0, elapsed time: 0:08:36
Episode: 49/400, rounds: 211, epsilon: 0.6173, score: -211.0, reward: 0.0, elapsed time: 0:08:43
Episode: 50/400, rounds: 446, epsilon: 0.6111, score: -446.0, reward: 0.0, elapsed time: 0:08:57
Episode: 51/400, rounds: 377, epsilon: 0.605, score: -377.0, reward: 0.0, elapsed time: 0:09:09
Episode: 52/400, rounds: 209, epsilon: 0.599, score: -209.0, reward: 0.0, elapsed time: 0:09:16
Episode: 53/400, rounds: 186, epsilon: 0.593, score: -186.0, reward: 0.0, elapsed time: 0:09:22
Episode: 54/400, rounds: 198, epsilon: 0.587, score: -198.0, reward: 0.0, elapsed time: 0:09:28
Episode: 55/400, rounds: 246, epsilon: 0.5812, score: -246.0, reward: 0.0, elapsed time: 0:09:36
Episode: 56/400, rounds: 196, epsilon: 0.5754, score: -196.0, reward: 0.0, elapsed time: 0:09:43
Episode: 57/400, rounds: 190, epsilon: 0.5696, score: -190.0, reward: 0.0, elapsed time: 0:09:49
Episode: 58/400, rounds: 170, epsilon: 0.5639, score: -170.0, reward: 0.0, elapsed time: 0:09:55
Episode: 59/400, rounds: 207, epsilon: 0.5583, score: -207.0, reward: 0.0, elapsed time: 0:10:02
Episode: 60/400, rounds: 209, epsilon: 0.5527, score: -209.0, reward: 0.0, elapsed time: 0:10:09
Episode: 61/400, rounds: 255, epsilon: 0.5472, score: -255.0, reward: 0.0, elapsed time: 0:10:17
Episode: 62/400, rounds: 211, epsilon: 0.5417, score: -211.0, reward: 0.0, elapsed time: 0:10:25
Episode: 63/400, rounds: 238, epsilon: 0.5363, score: -238.0, reward: 0.0, elapsed time: 0:10:32
Episode: 64/400, rounds: 124, epsilon: 0.5309, score: -124.0, reward: 0.0, elapsed time: 0:10:37
Episode: 65/400, rounds: 211, epsilon: 0.5256, score: -211.0, reward: 0.0, elapsed time: 0:10:44
Episode: 66/400, rounds: 120, epsilon: 0.5203, score: -120.0, reward: 0.0, elapsed time: 0:10:49
Episode: 67/400, rounds: 193, epsilon: 0.5151, score: -193.0, reward: 0.0, elapsed time: 0:10:55
Episode: 68/400, rounds: 219, epsilon: 0.51, score: -219.0, reward: 0.0, elapsed time: 0:11:03
Episode: 69/400, rounds: 179, epsilon: 0.5049, score: -179.0, reward: 0.0, elapsed time: 0:11:09
Episode: 70/400, rounds: 146, epsilon: 0.4998, score: -146.0, reward: 0.0, elapsed time: 0:11:15
Episode: 71/400, rounds: 98, epsilon: 0.4948, score: -98.0, reward: 0.0, elapsed time: 0:11:19
Episode: 72/400, rounds: 175, epsilon: 0.4899, score: -175.0, reward: 0.0, elapsed time: 0:11:25
Episode: 73/400, rounds: 150, epsilon: 0.485, score: -150.0, reward: 0.0, elapsed time: 0:11:31
Episode: 74/400, rounds: 148, epsilon: 0.4801, score: -148.0, reward: 0.0, elapsed time: 0:11:36
Episode: 75/400, rounds: 136, epsilon: 0.4753, score: -136.0, reward: 0.0, elapsed time: 0:11:41
Episode: 76/400, rounds: 123, epsilon: 0.4706, score: -123.0, reward: 0.0, elapsed time: 0:11:46
Episode: 77/400, rounds: 111, epsilon: 0.4659, score: -111.0, reward: 0.0, elapsed time: 0:11:50
Episode: 78/400, rounds: 244, epsilon: 0.4612, score: -244.0, reward: 0.0, elapsed time: 0:11:58
Episode: 79/400, rounds: 156, epsilon: 0.4566, score: -156.0, reward: 0.0, elapsed time: 0:12:04
Episode: 80/400, rounds: 140, epsilon: 0.452, score: -140.0, reward: 0.0, elapsed time: 0:12:09
Episode: 81/400, rounds: 133, epsilon: 0.4475, score: -133.0, reward: 0.0, elapsed time: 0:12:14
Episode: 82/400, rounds: 148, epsilon: 0.443, score: -148.0, reward: 0.0, elapsed time: 0:12:20
Episode: 83/400, rounds: 170, epsilon: 0.4386, score: -170.0, reward: 0.0, elapsed time: 0:12:26
Episode: 84/400, rounds: 130, epsilon: 0.4342, score: -130.0, reward: 0.0, elapsed time: 0:12:31
Episode: 85/400, rounds: 145, epsilon: 0.4299, score: -145.0, reward: 0.0, elapsed time: 0:12:37
Episode: 86/400, rounds: 180, epsilon: 0.4256, score: -180.0, reward: 0.0, elapsed time: 0:12:43
Episode: 87/400, rounds: 106, epsilon: 0.4213, score: -106.0, reward: 0.0, elapsed time: 0:12:47
Episode: 88/400, rounds: 150, epsilon: 0.4171, score: -150.0, reward: 0.0, elapsed time: 0:12:53
Episode: 89/400, rounds: 158, epsilon: 0.4129, score: -158.0, reward: 0.0, elapsed time: 0:12:59
Episode: 90/400, rounds: 117, epsilon: 0.4088, score: -117.0, reward: 0.0, elapsed time: 0:13:03
Episode: 91/400, rounds: 101, epsilon: 0.4047, score: -101.0, reward: 0.0, elapsed time: 0:13:08
Episode: 92/400, rounds: 131, epsilon: 0.4007, score: -131.0, reward: 0.0, elapsed time: 0:13:13
Episode: 93/400, rounds: 113, epsilon: 0.3967, score: -113.0, reward: 0.0, elapsed time: 0:13:17
Episode: 94/400, rounds: 160, epsilon: 0.3927, score: -160.0, reward: 0.0, elapsed time: 0:13:23
Episode: 95/400, rounds: 98, epsilon: 0.3888, score: -98.0, reward: 0.0, elapsed time: 0:13:27
Episode: 96/400, rounds: 114, epsilon: 0.3849, score: -114.0, reward: 0.0, elapsed time: 0:13:32
Episode: 97/400, rounds: 146, epsilon: 0.381, score: -146.0, reward: 0.0, elapsed time: 0:13:37
Episode: 98/400, rounds: 116, epsilon: 0.3772, score: -116.0, reward: 0.0, elapsed time: 0:13:41
Episode: 99/400, rounds: 105, epsilon: 0.3735, score: -105.0, reward: 0.0, elapsed time: 0:13:46
Episode: 100/400, rounds: 141, epsilon: 0.3697, score: -141.0, reward: 0.0, elapsed time: 0:13:51
Episode: 101/400, rounds: 134, epsilon: 0.366, score: -134.0, reward: 0.0, elapsed time: 0:13:56
Episode: 102/400, rounds: 132, epsilon: 0.3624, score: -132.0, reward: 0.0, elapsed time: 0:14:01
Episode: 103/400, rounds: 115, epsilon: 0.3587, score: -115.0, reward: 0.0, elapsed time: 0:14:06
Episode: 104/400, rounds: 97, epsilon: 0.3552, score: -97.0, reward: 0.0, elapsed time: 0:14:10
Episode: 105/400, rounds: 128, epsilon: 0.3516, score: -128.0, reward: 0.0, elapsed time: 0:14:15
Episode: 106/400, rounds: 109, epsilon: 0.3481, score: -109.0, reward: 0.0, elapsed time: 0:14:19
