Agent info:
	Batch size: 128
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Replay: 002
	Success Margin: -150
	Action Type: Simple Action

Episode: 1/400, rounds: 53, epsilon: 1.0, score: -111.2, reward: -100, elapsed time: 0:00:00
Episode: 2/400, rounds: 103, epsilon: 0.99, score: -144.7, reward: -100, elapsed time: 0:00:02
Episode: 3/400, rounds: 59, epsilon: 0.9801, score: -109.6, reward: -100, elapsed time: 0:00:04
Episode: 4/400, rounds: 104, epsilon: 0.9703, score: -396.9, reward: -100, elapsed time: 0:00:07
Episode: 5/400, rounds: 201, epsilon: 0.9606, score: -368.1, reward: -100, elapsed time: 0:00:13
Episode: 6/400, rounds: 55, epsilon: 0.951, score: -368.9, reward: -100, elapsed time: 0:00:15
Episode: 7/400, rounds: 162, epsilon: 0.9415, score: -117.2, reward: -100, elapsed time: 0:00:20
Episode: 8/400, rounds: 116, epsilon: 0.9321, score: -303.6, reward: -100, elapsed time: 0:00:24
Episode: 9/400, rounds: 179, epsilon: 0.9227, score: -557.1, reward: -100, elapsed time: 0:00:30
Episode: 10/400, rounds: 199, epsilon: 0.9135, score: -520.9, reward: -100, elapsed time: 0:00:36
Episode: 11/400, rounds: 147, epsilon: 0.9044, score: -329.0, reward: -100, elapsed time: 0:00:41
Episode: 12/400, rounds: 154, epsilon: 0.8953, score: -175.1, reward: -100, elapsed time: 0:00:46
Episode: 13/400, rounds: 190, epsilon: 0.8864, score: -513.3, reward: -100, elapsed time: 0:00:52
Episode: 14/400, rounds: 118, epsilon: 0.8775, score: -402.6, reward: -100, elapsed time: 0:00:56
Episode: 15/400, rounds: 113, epsilon: 0.8687, score: -203.4, reward: -100, elapsed time: 0:01:00
Episode: 16/400, rounds: 99, epsilon: 0.8601, score: -345.9, reward: -100, elapsed time: 0:01:03
Episode: 17/400, rounds: 55, epsilon: 0.8515, score: -193.6, reward: -100, elapsed time: 0:01:06
Episode: 18/400, rounds: 57, epsilon: 0.8429, score: -259.6, reward: -100, elapsed time: 0:01:08
Episode: 19/400, rounds: 136, epsilon: 0.8345, score: -59.89, reward: -100, elapsed time: 0:01:13
Episode: 20/400, rounds: 119, epsilon: 0.8262, score: -371.5, reward: -100, elapsed time: 0:01:17
Episode: 21/400, rounds: 110, epsilon: 0.8179, score: -138.6, reward: -100, elapsed time: 0:01:21
Episode: 22/400, rounds: 364, epsilon: 0.8097, score: -8.572, reward: -100, elapsed time: 0:01:32
Episode: 23/400, rounds: 179, epsilon: 0.8016, score: -59.5, reward: -100, elapsed time: 0:01:38
Episode: 24/400, rounds: 159, epsilon: 0.7936, score: -55.81, reward: -100, elapsed time: 0:01:44
Episode: 25/400, rounds: 99, epsilon: 0.7857, score: 4.523, reward: -100, elapsed time: 0:01:48
Episode: 26/400, rounds: 303, epsilon: 0.7778, score: -55.7, reward: -100, elapsed time: 0:01:57
Episode: 27/400, rounds: 185, epsilon: 0.77, score: -97.12, reward: -100, elapsed time: 0:02:03
Episode: 28/400, rounds: 202, epsilon: 0.7623, score: 12.04, reward: -100, elapsed time: 0:02:10
Episode: 29/400, rounds: 203, epsilon: 0.7547, score: -32.71, reward: -100, elapsed time: 0:02:17
Episode: 30/400, rounds: 146, epsilon: 0.7472, score: -105.5, reward: -100, elapsed time: 0:02:22
Episode: 31/400, rounds: 140, epsilon: 0.7397, score: -36.83, reward: -100, elapsed time: 0:02:27
Episode: 32/400, rounds: 97, epsilon: 0.7323, score: 13.28, reward: -100, elapsed time: 0:02:30
Episode: 33/400, rounds: 178, epsilon: 0.725, score: 24.04, reward: -100, elapsed time: 0:02:37
Episode: 34/400, rounds: 158, epsilon: 0.7177, score: -29.68, reward: -100, elapsed time: 0:02:42
Episode: 35/400, rounds: 333, epsilon: 0.7106, score: -19.84, reward: -100, elapsed time: 0:02:53
Episode: 36/400, rounds: 152, epsilon: 0.7034, score: -66.98, reward: -100, elapsed time: 0:02:59
Episode: 37/400, rounds: 226, epsilon: 0.6964, score: 20.65, reward: -100, elapsed time: 0:03:06
Episode: 38/400, rounds: 428, epsilon: 0.6894, score: -368.5, reward: -100, elapsed time: 0:03:20
Episode: 39/400, rounds: 279, epsilon: 0.6826, score: 4.66, reward: -100, elapsed time: 0:03:30
Episode: 40/400, rounds: 860, epsilon: 0.6757, score: -195.1, reward: -100, elapsed time: 0:03:57
Episode: 41/400, rounds: 430, epsilon: 0.669, score: 36.01, reward: -100, elapsed time: 0:04:10
Episode: 42/400, rounds: 429, epsilon: 0.6623, score: -40.97, reward: -100, elapsed time: 0:04:24
Episode: 43/400, rounds: 116, epsilon: 0.6557, score: -0.5707, reward: -100, elapsed time: 0:04:28
Episode: 44/400, rounds: 647, epsilon: 0.6491, score: 201.1, reward: 100, elapsed time: 0:04:48
Episode: 45/400, rounds: 999, epsilon: 0.6426, score: 3.993, reward: -0.7526275205561703, elapsed time: 0:05:20
Episode: 46/400, rounds: 999, epsilon: 0.6362, score: -108.0, reward: 4.057981894720484, elapsed time: 0:05:53
Episode: 47/400, rounds: 999, epsilon: 0.6298, score: 43.89, reward: -0.5192562713394462, elapsed time: 0:06:28
Episode: 48/400, rounds: 999, epsilon: 0.6235, score: 126.1, reward: -0.48582060360115764, elapsed time: 0:07:01
Episode: 49/400, rounds: 128, epsilon: 0.6173, score: -7.847, reward: -100, elapsed time: 0:07:06
Episode: 50/400, rounds: 151, epsilon: 0.6111, score: 35.29, reward: -100, elapsed time: 0:07:12
Episode: 51/400, rounds: 215, epsilon: 0.605, score: 26.62, reward: -100, elapsed time: 0:07:20
Episode: 52/400, rounds: 394, epsilon: 0.599, score: 204.9, reward: 100, elapsed time: 0:07:34
Episode: 53/400, rounds: 614, epsilon: 0.593, score: 216.1, reward: 100, elapsed time: 0:07:55
Episode: 54/400, rounds: 686, epsilon: 0.587, score: 225.5, reward: 100, elapsed time: 0:08:19
Episode: 55/400, rounds: 300, epsilon: 0.5812, score: 257.9, reward: 100, elapsed time: 0:08:30
Episode: 56/400, rounds: 999, epsilon: 0.5754, score: 89.99, reward: -0.7978071978245793, elapsed time: 0:09:05
Episode: 57/400, rounds: 999, epsilon: 0.5696, score: 57.23, reward: 0.03862527732565127, elapsed time: 0:09:40
Episode: 58/400, rounds: 559, epsilon: 0.5639, score: 247.9, reward: 100, elapsed time: 0:10:00
Episode: 59/400, rounds: 738, epsilon: 0.5583, score: 248.7, reward: 100, elapsed time: 0:10:26
Episode: 60/400, rounds: 999, epsilon: 0.5527, score: 74.49, reward: -0.3824661169135506, elapsed time: 0:10:58
Episode: 61/400, rounds: 999, epsilon: 0.5472, score: 92.75, reward: 0.5531574071449565, elapsed time: 0:11:33
Episode: 62/400, rounds: 999, epsilon: 0.5417, score: 101.8, reward: 1.580171957821752, elapsed time: 0:12:09
Episode: 63/400, rounds: 115, epsilon: 0.5363, score: -44.68, reward: -100, elapsed time: 0:12:14
Episode: 64/400, rounds: 94, epsilon: 0.5309, score: 27.58, reward: -100, elapsed time: 0:12:18
Episode: 65/400, rounds: 999, epsilon: 0.5256, score: 55.0, reward: 2.1335719589778783, elapsed time: 0:12:53
Episode: 66/400, rounds: 999, epsilon: 0.5203, score: -32.33, reward: -1.9299491355755183, elapsed time: 0:13:30
Episode: 67/400, rounds: 106, epsilon: 0.5151, score: -20.9, reward: -100, elapsed time: 0:13:34
Episode: 68/400, rounds: 101, epsilon: 0.51, score: 14.77, reward: -100, elapsed time: 0:13:39
Episode: 69/400, rounds: 559, epsilon: 0.5049, score: -4.916, reward: -100, elapsed time: 0:13:59
Episode: 70/400, rounds: 999, epsilon: 0.4998, score: -10.66, reward: 2.157116606981384, elapsed time: 0:14:35
Episode: 71/400, rounds: 999, epsilon: 0.4948, score: 85.06, reward: -0.12918808206043053, elapsed time: 0:15:11
Episode: 72/400, rounds: 266, epsilon: 0.4899, score: 11.88, reward: -100, elapsed time: 0:15:21
Episode: 73/400, rounds: 905, epsilon: 0.485, score: 272.3, reward: 100, elapsed time: 0:15:54
Episode: 74/400, rounds: 999, epsilon: 0.4801, score: 150.0, reward: -0.4344316091617013, elapsed time: 0:16:30
Episode: 75/400, rounds: 999, epsilon: 0.4753, score: 110.7, reward: -0.7364593437856566, elapsed time: 0:17:06
Episode: 76/400, rounds: 999, epsilon: 0.4706, score: 142.0, reward: 1.4205539153167177, elapsed time: 0:17:43
Episode: 77/400, rounds: 704, epsilon: 0.4659, score: 231.4, reward: 100, elapsed time: 0:18:09
Episode: 78/400, rounds: 999, epsilon: 0.4612, score: 101.2, reward: 3.7394500522179728, elapsed time: 0:18:45
Episode: 79/400, rounds: 668, epsilon: 0.4566, score: 265.0, reward: 100, elapsed time: 0:19:08
Episode: 80/400, rounds: 754, epsilon: 0.452, score: -63.79, reward: -100, elapsed time: 0:19:36
Episode: 81/400, rounds: 999, epsilon: 0.4475, score: 127.2, reward: 12.45408007308142, elapsed time: 0:20:13
Episode: 82/400, rounds: 999, epsilon: 0.443, score: 153.0, reward: -0.07933965067557011, elapsed time: 0:20:50
Episode: 83/400, rounds: 388, epsilon: 0.4386, score: -215.4, reward: -100, elapsed time: 0:21:04
Episode: 84/400, rounds: 323, epsilon: 0.4342, score: 261.9, reward: 100, elapsed time: 0:21:16
Episode: 85/400, rounds: 997, epsilon: 0.4299, score: 225.2, reward: 100, elapsed time: 0:21:53
Episode: 86/400, rounds: 999, epsilon: 0.4256, score: 149.6, reward: -0.5856973663384604, elapsed time: 0:22:29
Episode: 87/400, rounds: 236, epsilon: 0.4213, score: 229.0, reward: 100, elapsed time: 0:22:37
Episode: 88/400, rounds: 249, epsilon: 0.4171, score: 273.6, reward: 100, elapsed time: 0:22:47
Episode: 89/400, rounds: 333, epsilon: 0.4129, score: 280.4, reward: 100, elapsed time: 0:23:00
