Agent info:
	Batch size: 32
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Replay: 002
	Success Margin: -150
	Action Type: Simple Action

Episode: 1/400, rounds: 65, epsilon: 1.0, score: -141.8, reward: -100, elapsed time: 0:00:02
Episode: 2/400, rounds: 88, epsilon: 0.99, score: -133.1, reward: -100, elapsed time: 0:00:04
Episode: 3/400, rounds: 80, epsilon: 0.9801, score: -196.8, reward: -100, elapsed time: 0:00:07
Episode: 4/400, rounds: 63, epsilon: 0.9703, score: -503.3, reward: -100, elapsed time: 0:00:09
Episode: 5/400, rounds: 134, epsilon: 0.9606, score: -244.8, reward: -100, elapsed time: 0:00:12
Episode: 6/400, rounds: 53, epsilon: 0.951, score: -326.4, reward: -100, elapsed time: 0:00:14
Episode: 7/400, rounds: 52, epsilon: 0.9415, score: -394.4, reward: -100, elapsed time: 0:00:16
Episode: 8/400, rounds: 56, epsilon: 0.9321, score: -139.6, reward: -100, elapsed time: 0:00:18
Episode: 9/400, rounds: 51, epsilon: 0.9227, score: -307.0, reward: -100, elapsed time: 0:00:20
Episode: 10/400, rounds: 59, epsilon: 0.9135, score: -95.63, reward: -100, elapsed time: 0:00:22
Episode: 11/400, rounds: 293, epsilon: 0.9044, score: -25.43, reward: -100, elapsed time: 0:00:29
Episode: 12/400, rounds: 90, epsilon: 0.8953, score: -97.3, reward: -100, elapsed time: 0:00:32
Episode: 13/400, rounds: 59, epsilon: 0.8864, score: -149.6, reward: -100, elapsed time: 0:00:34
Episode: 14/400, rounds: 69, epsilon: 0.8775, score: -126.1, reward: -100, elapsed time: 0:00:36
Episode: 15/400, rounds: 76, epsilon: 0.8687, score: -136.7, reward: -100, elapsed time: 0:00:38
Episode: 16/400, rounds: 70, epsilon: 0.8601, score: -345.0, reward: -100, elapsed time: 0:00:41
Episode: 17/400, rounds: 85, epsilon: 0.8515, score: -186.5, reward: -100, elapsed time: 0:00:43
Episode: 18/400, rounds: 59, epsilon: 0.8429, score: -115.9, reward: -100, elapsed time: 0:00:45
Episode: 19/400, rounds: 66, epsilon: 0.8345, score: -157.6, reward: -100, elapsed time: 0:00:48
Episode: 20/400, rounds: 86, epsilon: 0.8262, score: -110.2, reward: -100, elapsed time: 0:00:51
Episode: 21/400, rounds: 53, epsilon: 0.8179, score: -111.7, reward: -100, elapsed time: 0:00:52
Episode: 22/400, rounds: 80, epsilon: 0.8097, score: -164.0, reward: -100, elapsed time: 0:00:55
Episode: 23/400, rounds: 53, epsilon: 0.8016, score: -87.83, reward: -100, elapsed time: 0:00:57
Episode: 24/400, rounds: 60, epsilon: 0.7936, score: -121.3, reward: -100, elapsed time: 0:00:59
Episode: 25/400, rounds: 66, epsilon: 0.7857, score: -124.9, reward: -100, elapsed time: 0:01:01
Episode: 26/400, rounds: 62, epsilon: 0.7778, score: -124.6, reward: -100, elapsed time: 0:01:04
Episode: 27/400, rounds: 62, epsilon: 0.77, score: -74.02, reward: -100, elapsed time: 0:01:06
Episode: 28/400, rounds: 106, epsilon: 0.7623, score: -374.7, reward: -100, elapsed time: 0:01:09
Episode: 29/400, rounds: 83, epsilon: 0.7547, score: -149.9, reward: -100, elapsed time: 0:01:12
Episode: 30/400, rounds: 52, epsilon: 0.7472, score: -109.2, reward: -100, elapsed time: 0:01:14
Episode: 31/400, rounds: 71, epsilon: 0.7397, score: -149.9, reward: -100, elapsed time: 0:01:16
Episode: 32/400, rounds: 54, epsilon: 0.7323, score: -141.7, reward: -100, elapsed time: 0:01:18
Episode: 33/400, rounds: 92, epsilon: 0.725, score: -139.9, reward: -100, elapsed time: 0:01:22
Episode: 34/400, rounds: 50, epsilon: 0.7177, score: -142.3, reward: -100, elapsed time: 0:01:23
Episode: 35/400, rounds: 63, epsilon: 0.7106, score: -106.5, reward: -100, elapsed time: 0:01:26
Episode: 36/400, rounds: 70, epsilon: 0.7034, score: -141.5, reward: -100, elapsed time: 0:01:28
Episode: 37/400, rounds: 66, epsilon: 0.6964, score: -129.7, reward: -100, elapsed time: 0:01:31
Episode: 38/400, rounds: 71, epsilon: 0.6894, score: -165.1, reward: -100, elapsed time: 0:01:33
Episode: 39/400, rounds: 66, epsilon: 0.6826, score: -109.8, reward: -100, elapsed time: 0:01:36
Episode: 40/400, rounds: 63, epsilon: 0.6757, score: -143.7, reward: -100, elapsed time: 0:01:38
Episode: 41/400, rounds: 52, epsilon: 0.669, score: -106.2, reward: -100, elapsed time: 0:01:40
Episode: 42/400, rounds: 74, epsilon: 0.6623, score: -152.5, reward: -100, elapsed time: 0:01:43
Episode: 43/400, rounds: 68, epsilon: 0.6557, score: -183.6, reward: -100, elapsed time: 0:01:45
Episode: 44/400, rounds: 70, epsilon: 0.6491, score: -163.7, reward: -100, elapsed time: 0:01:48
Episode: 45/400, rounds: 55, epsilon: 0.6426, score: -106.0, reward: -100, elapsed time: 0:01:50
Episode: 46/400, rounds: 63, epsilon: 0.6362, score: -172.4, reward: -100, elapsed time: 0:01:52
Episode: 47/400, rounds: 71, epsilon: 0.6298, score: -509.7, reward: -100, elapsed time: 0:01:55
Episode: 48/400, rounds: 79, epsilon: 0.6235, score: -142.5, reward: -100, elapsed time: 0:01:58
